date,price
2024-06-12,6352
2024-06-13,6199
2024-06-14,6156
2024-06-15,6189
2024-06-16,6299
2024-06-17,6189
2024-06-18,6222
2024-06-19,6276
2024-06-20,6139
2024-06-21,6042
2024-06-22,6204
2024-06-23,6198
2024-06-24,6131
2024-06-25,6250
2024-06-26,6229
2024-06-27,6100
2024-06-28,6221
2024-06-29,6164
2024-06-30,6061
2024-07-01,6316
2024-07-02,6276
2024-07-03,6220
2024-07-04,6322
2024-07-05,6319
2024-07-06,6234
2024-07-07,6312
2024-07-08,6361
2024-07-09,6223
2024-07-10,6310
2024-07-11,6280
2024-07-12,6461
2024-07-13,6131
2024-07-14,6336
2024-07-15,6256
2024-07-16,6272
2024-07-17,6432
2024-07-18,6279
2024-07-19,6459
2024-07-20,6245
2024-07-21,6308
2024-07-22,6241
2024-07-23,6225
2024-07-24,6285
2024-07-25,6257
2024-07-26,6296
2024-07-27,6112
2024-07-28,6440
2024-07-29,6267
2024-07-30,6419
2024-07-31,6199
2024-08-01,6373
2024-08-02,6603
2024-08-03,6280
2024-08-04,6230
2024-08-05,6306
2024-08-06,6388
2024-08-07,6405
2024-08-08,6453
2024-08-09,6329
2024-08-10,6222
2024-08-11,6315
2024-08-12,6449
2024-08-13,6387
2024-08-14,6193
2024-08-15,6347
2024-08-16,6462
2024-08-17,6520
2024-08-18,6395
2024-08-19,6375
2024-08-20,6251
2024-08-21,6283
2024-08-22,6354
2024-08-23,6390
2024-08-24,6396
2024-08-25,6312
2024-08-26,6258
2024-08-27,6288
2024-08-28,6257
2024-08-29,6401
2024-08-30,6165
2024-08-31,6323
2024-09-01,6316
2024-09-02,6402
2024-09-03,6286
2024-09-04,6360
2024-09-05,6248
2024-09-06,6220
2024-09-07,6226
2024-09-08,6402
2024-09-09,6360
2024-09-10,6319
2024-09-11,6546
2024-09-12,6277
2024-09-13,6330
2024-09-14,6305
2024-09-15,6262
2024-09-16,6465
2024-09-17,6401
2024-09-18,6168
2024-09-19,6248
2024-09-20,6314
2024-09-21,6343
2024-09-22,6172
2024-09-23,6100
2024-09-24,6127
2024-09-25,6274
2024-09-26,6272
2024-09-27,6308
2024-09-28,6218
2024-09-29,6182
2024-09-30,6118
2024-10-01,6326
2024-10-02,6330
2024-10-03,6379
2024-10-04,6363
2024-10-05,6285
2024-10-06,6408
2024-10-07,6289
2024-10-08,6247
2024-10-09,6258
2024-10-10,6253
2024-10-11,6127
2024-10-12,6313
2024-10-13,6320
2024-10-14,6271
2024-10-15,6243
2024-10-16,6330
2024-10-17,6437
2024-10-18,6303
2024-10-19,6259
2024-10-20,6253
2024-10-21,6294
2024-10-22,6199
2024-10-23,6290
2024-10-24,6305
2024-10-25,6448
2024-10-26,6375
2024-10-27,6383
2024-10-28,6243
2024-10-29,6354
2024-10-30,6209
2024-10-31,6325
2024-11-01,6335
2024-11-02,6241
2024-11-03,6462
2024-11-04,6347
2024-11-05,6150
2024-11-06,6346
2024-11-07,6269
2024-11-08,6302
2024-11-09,6339
2024-11-10,6333
2024-11-11,6139
2024-11-12,6209
2024-11-13,6364
2024-11-14,6406
2024-11-15,6454
2024-11-16,6446
2024-11-17,6138
2024-11-18,6364
2024-11-19,6149
2024-11-20,6431
2024-11-21,6322
2024-11-22,6211
2024-11-23,6463
2024-11-24,6354
2024-11-25,6151
2024-11-26,6325
2024-11-27,6244
2024-11-28,6311
2024-11-29,6265
2024-11-30,6412
2024-12-01,6243
2024-12-02,6382
2024-12-03,6502
2024-12-04,6291
2024-12-05,6374
2024-12-06,6373
2024-12-07,6302
2024-12-08,6409
2024-12-09,6365
2024-12-10,6281
2024-12-11,6498
2024-12-12,6420
2024-12-13,6344
2024-12-14,6306
2024-12-15,6294
2024-12-16,6455
2024-12-17,6345
2024-12-18,6394
2024-12-19,6342
2024-12-20,6406
2024-12-21,6348
2024-12-22,6418
2024-12-23,6342
2024-12-24,6423
2024-12-25,6411
2024-12-26,6348
2024-12-27,6288
2024-12-28,6282
2024-12-29,6298
2024-12-30,6278
2024-12-31,6426
2025-01-01,6496
2025-01-02,6626
2025-01-03,6682
2025-01-04,6502
2025-01-05,6376
2025-01-06,6469
2025-01-07,6494
2025-01-08,6381
2025-01-09,6480
2025-01-10,6523
2025-01-11,6463
2025-01-12,6439
2025-01-13,6439
2025-01-14,6643
2025-01-15,6487
2025-01-16,6434
2025-01-17,6470
2025-01-18,6576
2025-01-19,6445
2025-01-20,6539
2025-01-21,6558
2025-01-22,6560
2025-01-23,6612
2025-01-24,6456
2025-01-25,6591
2025-01-26,6437
2025-01-27,6468
2025-01-28,6596
2025-01-29,6566
2025-01-30,6500
2025-01-31,6405
2025-02-01,6545
2025-02-02,6450
2025-02-03,6426
2025-02-04,6448
2025-02-05,6520
2025-02-06,6330
2025-02-07,6529
2025-02-08,6514
2025-02-09,6453
2025-02-10,6583
2025-02-11,6549
2025-02-12,6451
2025-02-13,6446
2025-02-14,6556
2025-02-15,6379
2025-02-16,6473
2025-02-17,6450
2025-02-18,6506
2025-02-19,6517
2025-02-20,6503
2025-02-21,6591
2025-02-22,6518
2025-02-23,6475
2025-02-24,6403
2025-02-25,6558
2025-02-26,6542
2025-02-27,6616
2025-02-28,6440
2025-03-01,6482
2025-03-02,6475
2025-03-03,6473
2025-03-04,6481
2025-03-05,6343
2025-03-06,6546
2025-03-07,6532
2025-03-08,6570
2025-03-09,6660
2025-03-10,6454
2025-03-11,6477
2025-03-12,6481
2025-03-13,6635
2025-03-14,6342
2025-03-15,6519
2025-03-16,6362
2025-03-17,6273
2025-03-18,6318
2025-03-19,6369
